n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_diagnostics.f0_failure_rate.graph_0.esp_semantic_type.sigma,kernel_diagnostics.f1_mass.graph_0.esp_semantic_type.sigma,run,seed,runtime_sec
60,0.4165949612882001,0.3821024344896925,0.6549522358144216,0.6706307474247188,24.8580334755379,15.441778554307891,3.049237357051923,0.955146462011082,60,-3.6379424351679095,50.0,,,13.819311038590968,61.80206418875605,169.73298085201532,14447,0.0117486662180394,8.879942369211301,20.000000000000004,6,58,1568.955507516861
70,0.411464359962242,0.3854627332992012,0.6549522358144216,0.6623715524711216,31.523044975017104,19.582075160560105,2.6401569863816112,0.9430433698340828,70,-3.6379424351679095,60.0,,,15.561180143617094,66.46796326804906,231.76070716511455,19687,0.0117722714057558,9.431937214022255,20.000000000000004,6,58,1568.955507516861
80,0.4110960531721088,0.3857039566548646,0.6549522358144216,0.6617786555786943,38.14379601526618,23.694877226231856,1.8693129511713389,1.0901811817129314,80,-3.6379424351679095,70.0,,,17.32983100786805,27.529921248555183,256.7350664259866,22396,0.0114634339357915,11.080888438919656,20.000000000000004,6,58,1568.955507516861
90,0.3536995419125799,0.4232959300322406,0.6549522358144216,0.56938227822808,44.29960068430005,27.5188552016553,1.6717774464585111,1.0434740657553154,90,-3.6379424351679095,80.0,,,19.177153299562637,70.19893571734428,323.1678585484624,27259,0.0118554553926579,14.68921227100608,20.000000000000004,6,58,1568.955507516861
100,0.3536995419125799,0.4232959300322406,0.6549522358144216,0.56938227822808,49.99342346658085,31.055850620781097,1.6717774464585111,1.0434740657553154,100,-3.6379424351679095,90.0,,,20.750016043893996,85.17947655078024,404.31350663118064,32543,0.0124239777104501,13.36763695828185,20.00000000000001,6,58,1568.955507516861
110,0.3282341683020766,0.4399745334142894,0.6549522358144216,0.5283883533734606,55.48227662458855,34.46551917185438,1.6615330350522046,1.0143092434109442,110,-3.6379424351679095,100.0,,,22.28841074369848,79.6495230793953,479.95976624730974,37645,0.0127496285362547,7.228137748706815,19.999999999999982,6,58,1568.955507516861
120,0.3282341683020766,0.4399745334142894,0.6549522358144216,0.5283883533734606,60.76616015832316,37.74786085487515,1.6615330350522046,1.0143092434109442,120,-3.6379424351679095,110.0,,,27.09228395391256,86.23669489379972,562.1251343833283,43012,0.0130690303725315,10.904780249624762,19.999999999999982,6,58,1568.955507516861
130,0.2458926792573792,0.4939042757644026,0.6549522358144216,0.3958357795944703,65.38728082316281,40.61849509267243,1.6251379837562698,1.0176021762396892,130,-3.6379424351679095,120.0,,,26.47157151997089,89.02364022284746,647.0805853977799,48278,0.0134032185549894,7.463961359038505,19.999999999999996,6,58,1568.955507516861
140,0.2458926792573792,0.4939042757644026,0.6549522358144216,0.3958357795944703,69.34563861910752,43.077421885246224,1.624369501607971,0.9899585644494804,140,-3.6379424351679095,130.0,,,28.26747547835112,29.688534881919622,674.1254915259778,51149,0.0131796416650565,0.0356796645090248,20.000000000000004,6,58,1568.955507516861
150,0.2153664462992172,0.5138975002913427,0.6549522358144216,0.3466949297832052,73.0582921659959,45.3837175130292,1.6527370632441998,1.0695345065035555,150,-3.6379424351679095,140.0,,,30.57671317551285,91.80817432049662,761.8340126005933,56811,0.0134099736424388,2.013260600205955,20.000000000000004,6,58,1568.955507516861
