n_eval,delta_hv.delta_hv,delta_hv.hv,delta_hv.true_hv,delta_hv.ratio,delta_hv.regret,delta_hv.abs_regret,IGD.indicator,spread.delta,n_eval.n_eval,f_best.f_best,doe.size,time.sample,time.pretrain,time.train,time.infill,time.infill_eval,time.infill_n_eval,time.infill_eval_per_point,kernel_weight.f0_failure_rate.graph_0.wloa_semantic_type,kernel_weight.f0_failure_rate.sizing,kernel_weight.f0_failure_rate.interaction.graph_0_wloa_semantic_type_sizing,kernel_weight.f1_mass.graph_0.wloa_semantic_type,kernel_weight.f1_mass.sizing,kernel_weight.f1_mass.interaction.graph_0_wloa_semantic_type_sizing,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f0_failure_rate.graph_0.wloa_semantic_type.num_levels,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.depth,kernel_diagnostics.f1_mass.graph_0.wloa_semantic_type.num_levels,run,seed,runtime_sec
40,0.5346355770328156,0.3047914692908456,0.6549522358144216,0.9491824603612486,9.745912301806245,5.489472956763583,4.36966489107358,0.7807568556641489,40,-3.55076173179925,30.0,,,8.309918099083006,56.00692289927974,52.751405807677656,4291,0.0122934993725652,0.0154748332055026,0.2024613817930022,0.7820637850014951,0.1963527759096368,0.56426889840081,0.2393783256895531,6.0,7.0,6.0,7.0,8,60,1598.011259317398
50,0.3828224217651899,0.404221834759419,0.6549522358144216,0.6796560943235381,17.890105075230174,10.076762950753611,3.997681093976162,1.0755448360037083,50,-7.599958379875922,40.0,,,8.42389014409855,68.22205950506032,117.05478222947568,9500,0.0123215560241553,0.9105113093970498,0.0783907329975464,0.0110979576054038,0.1472871824368042,0.8512399457388278,0.001472871824368,6.0,7.0,6.0,7.0,8,60,1598.011259317398
60,0.3786332541452377,0.406965539458308,0.6549522358144216,0.6722187209066026,24.64947915138088,13.884041330305749,2.515504390199911,1.0744280571457725,60,-7.599958379875922,50.0,,,8.551012194249779,52.59162204992026,166.07819881662726,14244,0.0116595197147309,0.0153448805054286,0.2167452190434257,0.7679099004511455,0.1567717458745718,0.8416605366666825,0.0015677174587457,6.0,7.0,6.0,7.0,8,60,1598.011259317398
70,0.2490833877124773,0.4918145141279041,0.6549522358144216,0.4422182004725293,30.221663758276534,17.022624539594325,1.4039924213670123,1.018178820645513,70,-10.809868105321694,60.0,,,8.857270104810596,84.4411314567551,246.50908867735416,19502,0.0126401952967569,0.0089033144148408,0.8108269166891054,0.1802697688960537,0.1755226800124552,0.8227220931874202,0.0017552268001245,6.0,7.0,6.0,7.0,8,60,1598.011259317398
80,0.1763110420222393,0.5394769246431855,0.6549522358144216,0.3130194769010905,33.997852145144634,19.14959668826791,1.0881963724084152,0.9137049268319568,80,-10.858462086957363,70.0,,,9.080756523646414,74.06123495288193,317.0300369411707,24006,0.0132062833017233,0.010015543281369,0.6387035985471732,0.3512808581714577,0.1776886133773034,0.8205345004889235,0.001776886133773,6.0,7.0,6.0,7.0,8,60,1598.011259317398
90,0.1759682517599251,0.5397014358919037,0.6549522358144216,0.3124108931880928,37.12500399559055,20.91099315717873,0.9982364463211464,0.9355737213782594,90,-10.858462086957363,80.0,,,10.81373490486294,43.02575072972104,357.2964582461864,27341,0.0130681561847111,0.0059524258923508,0.5339159399020541,0.460131634205595,0.1586950563271282,0.8397179931096005,0.0015869505632712,6.0,7.0,6.0,7.0,8,60,1598.011259317398
100,0.1759682517599251,0.5397014358919037,0.6549522358144216,0.3124108931880928,40.24911292747148,22.670675674777986,0.9982364463211464,0.9355737213782594,100,-10.858462086957363,90.0,,,9.341961737256495,38.12577943596989,393.0589277530089,29889,0.0131506215581989,0.0088576430585448,0.8093754270932557,0.1817669298481994,0.1726874335747555,0.825585692089497,0.0017268743357475,6.0,7.0,6.0,7.0,8,60,1598.011259317398
110,0.1717515110115961,0.5424631996728715,0.6549522358144216,0.30492456693121,43.33579022806799,24.40927448863559,0.9547662232622282,0.9346825014162424,110,-3.475657678488232,100.0,,,9.95848387060687,58.4274824350141,447.70637973444536,34835,0.0128521997914294,0.4679872289386676,0.428511885348376,0.1035008857129564,0.186219140847195,0.811918667744333,0.0018621914084719,6.0,7.0,6.0,7.0,8,60,1598.011259317398
120,0.1668230626522075,0.545691097944949,0.6549522358144216,0.2961746876854436,46.34128650115126,26.102147356954607,0.9289955014150107,1.019191016691973,120,-3.475657678488232,110.0,,,10.207719240803272,76.35506547708064,520.4130062409677,39563,0.0131540329661797,0.407754395077857,0.4897048499795146,0.1025407549426283,0.169115587389653,0.8291932567364505,0.0016911558738965,6.0,7.0,6.0,7.0,8,60,1598.011259317398
130,0.1634367448545624,0.5479089743576948,0.6549522358144216,0.2901626795123762,49.27297333714036,27.753446394488456,0.9144394256036564,0.9475100999176738,130,-3.475657678488232,120.0,,,11.782112343702464,109.70719891227782,625.9732621042058,44932,0.0139315690844877,0.0059120202853527,0.5322284846811313,0.4618594950335158,0.1820683560944504,0.8161109603446052,0.0018206835609445,6.0,7.0,6.0,7.0,8,60,1598.011259317398
140,0.1620551652133068,0.5488138430326909,0.6549522358144216,0.28770984767812,52.16233597309284,29.3809059448278,0.8963792388270978,0.9806879811322512,140,-3.475657678488232,130.0,,,10.536741089075804,92.66747736930849,715.8253492903896,48533,0.0147492499802276,0.0101735624900784,0.6155004621519622,0.3743259753579592,0.1748557501991492,0.8233956922988592,0.0017485575019914,6.0,7.0,6.0,7.0,8,60,1598.011259317398
150,0.1618015633947364,0.5489799401107701,0.6549522358144216,0.2872596075361552,55.037183249164215,31.000189587868014,0.8752269619516859,0.9838381507213904,150,-3.475657678488232,140.0,,,11.255601454991847,147.05894190212712,858.7910665264353,54209,0.0158422229985138,0.0101084688831437,0.6167507046518853,0.373140826464971,0.1795407049896161,0.8186638879604877,0.0017954070498961,6.0,7.0,6.0,7.0,8,60,1598.011259317398
160,0.1473759854123334,0.5584280046632603,0.6549522358144216,0.261648693878926,57.78172475623962,32.54607733190337,0.8863383837574645,1.1457614544756478,160,-3.475657678488232,150.0,,,11.389876612927765,96.3248571450822,951.1530989217572,59298,0.0160402222490093,0.0105368413301502,0.6352237007555965,0.3542394579142533,0.1588475131139554,0.839564011754905,0.0015884751311395,6.0,7.0,6.0,7.0,8,60,1598.011259317398
170,0.1432101696351307,0.5611564150205302,0.6549522358144216,0.2542527789067836,60.36123212016817,33.99900810714069,0.962110252554422,1.1698968367916291,170,-3.475657678488232,160.0,,,11.868245527613908,85.96591714583337,1033.1580380331725,64459,0.0160281425097065,0.010087355828827,0.6429603615415802,0.3469522826295926,0.1977882677546454,0.8002338495678082,0.0019778826775464,6.0,7.0,6.0,7.0,8,60,1598.011259317398
